id;ligne;terminus;nom;latitude;longitude
59;7;0;Chaussée_d'Antin,_La_Fayette;48.873707;2.333073
60;9;0;Chaussée_d'Antin,_La_Fayette;48.873707;2.333073
61;8;0;Chemin_Vert;48.855156;2.370821
62;6;0;Chevaleret;48.830184;2.375495
63;7;0;Château_Landon;48.878989;2.359808
64;4;0;Château_Rouge;48.887446;2.349851
65;4;0;Château_d'Eau;48.871249;2.355947
66;1;1;Château_de_Vincennes;48.844409;2.441022
67;1;0;Châtelet;48.85867;2.347193
68;11;1;Châtelet;48.85867;2.347193
69;14;0;Châtelet;48.85867;2.347193
70;4;0;Châtelet;48.85867;2.347193
71;7;0;Châtelet;48.85867;2.347193
72;13;1;Châtillon-Montrouge;48.810363;2.314312
73;4;0;Cité;48.855176;2.347459
74;10;0;Cluny,_La_Sorbonne;48.849829;2.34324
75;2;0;Colonel_Fabien;48.878127;2.370714
76;8;0;Commerce;48.857754;2.285646
77;1;0;Concorde;48.865584;2.319328
78;12;0;Concorde;48.865584;2.319328
79;8;0;Concorde;48.865584;2.319328
80;12;0;Convention;48.83351;2.292858
81;12;0;Corentin_Celton;48.831381;2.290644
82;7;0;Corentin-Cariou;48.896919;2.37425
83;6;0;Corvisart;48.832342;2.34709
84;14;0;Cour_Saint-Émilion;48.834793;2.387261
85;2;0;Courcelles;48.878177;2.30763
86;2;0;Couronnes;48.866178;2.383284
87;7;0;Crimée;48.894262;2.376541
88;9;0;Croix_de_Chavaux;48.855573;2.436813
89;8;1;Créteil-Préfecture;48.783527;2.457207
90;8;0;Créteil-Université;48.774201;2.456555
91;8;0;Créteil-l'Echat,_Hôpital_Henri_Mondor;48.780644;2.458758
92;7b;0;Danube;48.877355;2.386448
93;6;0;Daumesnil;48.84533;2.376034
94;8;0;Daumesnil;48.84533;2.376034
95;4;0;Denfert_Rochereau;48.833073;2.332053
96;6;0;Denfert_Rochereau;48.833073;2.332053
97;6;0;Dugommier;48.835274;2.39843
98;6;0;Dupleix;48.85161;2.297416
99;10;0;Duroc;48.846855;2.316049
100;13;0;Duroc;48.846855;2.316049
101;6;0;Edgar_Quinet;48.843189;2.327808
102;1;0;Esplanade_de_la_Défense;48.892592;2.236117
103;3;0;Europe;48.879754;2.310018
104;9;0;Exelmans;48.837513;2.262927
105;8;0;Faidherbe-Chaligny;48.852972;2.38647
106;12;0;Falguière;48.841724;2.312782
107;8;0;Filles_du_Calvaire;48.861082;2.366576
108;7;0;Fort_d'Aubervilliers;48.907753;2.384757
109;1;0;Franklin_D._Roosevelt;48.871111;2.303897
110;9;0;Franklin_D._Roosevelt;48.871111;2.303897
